"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3224",3224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225",3225,1,3422,41,5,856,2015,22,1,23,3,1,2,3,411,868,5,1,1,411,868,0,5,20,20,24000,13000,4,185,1,4,120,7,1,1,1,2,8,1,1,1,1,8,13,14,8
"3226",3226,1,2066,22,0,856,2015,60,1,59,0,0,1,2,204,916,5,1,1,306,819,0,5,12,15,27500,134000,3,250,10,2,140,7,1,1,1,5,8,1,1,1,5,8,17,17,1
"3227",3227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228",3228,1,2583,41,1,856,2015,61,1,55,0,0,1,3,470,538,5,1,1,570,427,0,5,1,3,29349,50000,4,230,2,1,168,4,1,1,1,2,0,1,1,1,4,0,16,14,1
"3229",3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3230",3230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3231",3231,1,7780,48,0,856,2015,35,1,33,3,6,1,2,326,819,5,1,1,285,856,0,5,20,8,80000,1300,3,205,11,2,150,7,1,1,1,2,8,1,1,1,4,8,16,14,1
"3232",3232,1,6617,3,1,856,2015,32,1,32,1,1,1,2,150,47,5,1,6,174,949,0,5,25,7,79000,32000,1,160,6,2,170,8,1,1,1,5,8,1,1,1,4,0,16,17,1
"3233",3233,1,8238,48,8,856,2015,29,1,28,2,1,1,1,913,719,5,1,1,365,807,0,5,12,3,60000,20000,1,190,11,1,130,4,1,1,1,1,8,1,1,1,3,8,15,13,8
"3234",3234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
